Country,Place_Name,Latitude,Longitude
DE,Munich,48.1611,11.5586
DE,Oberursel,50.1973,8.5893
DE,Heidenheim,48.6873,10.1601
DE,Gladbeck,51.5842,6.9746
DE,Borken,51.8514,6.8662
DE,H<fc>rth,50.8772,6.8872
DE,Deggendorf,48.8447,12.9584
DE,Passau,48.589,13.3971
DE,Hamburg,53.5625,9.9573
DE,Duisburg,51.391000000000005,6.7071
DE,Darmstadt,49.8972,8.6809
DE,Frankfurt Am Main,50.1292,8.6249
DE,Magdeburg,52.1104,11.6011
DE,Barleben,52.2,11.6333
DE,Erlangen,49.5888,11.0098
DE,N<fc>rnberg,49.4599,11.0275
DE,Bonn,50.7323,7.1847
DE,Grevenbroich,51.1292,6.6245
DE,Munich,48.1345,11.559000000000001
DE,Spalt,49.1757,10.9228
DE,N<fc>rnberg,49.417,11.1251
DE,Berlin,52.532,13.3922
DE,Ostfildern,48.7167,9.2667
DE,Berlin,52.4887,13.3781
DE,Berlin,52.5076,13.3273
DE,Hamburg,53.5568,9.9898
DE,Hamburg,53.5509,9.9425
DE,Werder,52.3271,12.6625
DE,Berlin,52.5233,13.4138
DE,Marburg,50.803000000000004,8.7625
DE,Bad Nauheim,50.3763,8.7276
DE,Kitzingen,49.7333,10.1667
DE,R<fc>sselsheim,49.9807,8.432
DE,Schifferstadt,49.3784,8.3658
DE,Zweibr<fc>cken,49.248999999999995,7.3649
DE,Willich,51.2592,6.5156
DE,Nordenham,53.4982,8.4647
DE,Leer,53.2348,7.4752
DE,Kaiserslautern,49.4425,7.7659
DE,Kaiserslautern,49.43600000000001,7.7503
DE,Birkenwerder,52.6833,13.2833
DE,Minden,52.2873,8.9243
DE,B<fc>nde,52.191,8.576
DE,G<fc>tersloh,51.9436,8.4283
DE,Harsewinkel,51.9659,8.2211
DE,G<fc>tersloh,51.9005,8.3837
DE,Hameln,52.1037,9.3676
DE,M<fc>nster,51.9597,7.6349
DE,Stadtlohn,51.9814,6.9346
DE,M<fc>nster,51.9471,7.5446
DE,Kassel,51.336000000000006,9.4457
DE,Neuenkirchen,52.25,7.3667
DE,Osnabr<fc>ck,52.2667,8.0725
DE,Nordhorn,52.4149,7.0766
DE,Bielefeld,52.0483,8.5492
DE,Enger,52.1422,8.5489
DE,Brilon,51.4055,8.5825
DE,Kamen,51.5806,7.6594
DE,Bergkamen,51.6213,7.6309
DE,Dorsten,51.6812,6.962999999999999
DE,Hamm,51.6425,7.7343
DE,Unna,51.5485,7.6849
DE,Pirna,50.9667,13.9333
DE,Bautzen,51.1825,14.4292
DE,L<f6>bau,51.05,14.6167
DE,Burscheid,51.0846,7.122999999999999
DE,Neukirchen-vluyn,51.45,6.55
DE,Moers,51.4463,6.6396
DE,Attendorn,51.1112,7.8807
DE,Bottrop,51.5303,6.9681
DE,Kreuztal,50.961999999999996,8.0064
DE,Olpe,50.9977,7.8381
DE,Siegen,50.8625,8.0338
DE,Siegen,50.833999999999996,8.0219
DE,Wilhelmshaven,53.5234,8.1075
DE,Aurich,53.4839,7.5151
DE,Neubrandenburg,53.5476,13.2555
DE,Neubrandenburg,53.5761,13.2797
DE,Eberswalde,52.8333,13.8333
DE,Brandenburg,52.4358,12.5297
DE,Ludwigsfelde,52.3019,13.2607
DE,Potsdam,52.403,13.0626
DE,Brandenburg,52.4167,12.55
DE,Potsdam,52.3725,13.0914
DE,Eisenh<fc>ttenstadt,52.1601,14.555
DE,Bamberg,49.8883,10.9185
DE,Coburg,50.2585,10.9579
DE,N<fc>rnberg,49.4177,11.0297
DE,Erlangen,49.55,11.0036
DE,N<fc>rnberg,49.4403,11.0809
DE,F<fc>rth,49.4865,10.9608
DE,Bayreuth,49.9461,11.5762
DE,Holzminden,51.8197,9.4646
DE,Neustadt,52.5,9.4667
DE,Wunstorf,52.4269,9.4354
DE,Nienburg,52.6493,9.2365
DE,Einbeck,51.8188,9.8522
DE,Dassel,51.8,9.6833
DE,Salzgitter,52.1221,10.3761
DE,Stadthagen,52.3137,9.2132
DE,Peine,52.3395,10.2492
DE,Rinteln,52.1733,9.1195
DE,Springe,52.2167,9.55
DE,Laatzen,52.3099,9.8108
